	Värdeutveckling i SEK (%)							Fondavgift (%)			Sharpe-	Noterings-		Svensk/				
First State Asian Property Securities Fund	0	0	3	-10	16	56	9,3	0,83	2,08	14,8	0,4	GBP	2007	Utländsk	836494	First State Investments (UK) Ltd	Övriga branscher	
Aviva Investors - Global Convertibles Fund	-3	-3	-1	-7	29	38	6,6	0,62	1,75	8,1	1,1	USD	2002	Utländsk	999359	Aviva Investors Luxembourg S.A.	Utländska aktier och räntor	
SEB Asienfond ex Japan	-3	-3	-3	-24	10	20	3,8	0,42	1,77	15,2	0,3	SEK	2002	Svensk	914945	SEB Investment Management AB	Asien och Fjärran östern	
Affärsvärldenfonden								0,89	2,25			SEK	2016	Svensk	989905	Lundmark & Co Fondförvaltning AB	Sverige	
SEF - Gaia Global	-3	-3						0,78	1,96			SEK	2016	Utländsk	623108	Swedbank Management Company S.A	Global	
SEF - Mimer Sverige	-5	-5						0,78	1,94			SEK	2016	Utländsk	587279	Swedbank Management Company S.A	Sverige	
SEF - European Best Ideas								0,5	1,16			SEK	2016	Utländsk	551440	Swedbank Management Company S.A	Europa	
Holberg Norden	0	0	6	3	51	25	4,6	0,62	1,5	13,1	1,1	NOK	2007	Utländsk	354290	Holberg Fondsforvaltning AS	Norden	
DNB Fund - SEK Long Bond	2	2	1	-1	8	20	3,8	0,3	0,75	2,2	1,1	SEK	2003	Utländsk	734558	DNB Asset Management S.A.	Sverige lång	
DNB Fund - SEK Short Bond	0	0	0	-1	1	5	0,9	0,19	0,39	0,3	0,2	SEK	2003	Utländsk	770388	DNB Asset Management S.A.	Sverige kort	
Alfred Berg Obligationsfond Plus	3	3	1	-1	11	23	4,2	0,23	0,5	4,3	0,8	SEK	2007	Svensk	554691	Alfred Berg Fonder AB	Sverige lång	
Allianz Euro High Yield Bond	3	3	2	-1	24	31	5,5	0,42	1,4	6,3	1,2	EUR	2013	Utländsk	717900	Allianz Global Investors GmbH	Övriga utländska	
Danske Invest Horisont Ränta	1	1	1	-1	6	15	2,8	0,31	0,84	2,5	0,7	SEK	2013	Svensk	732487	Danske Capital AB	Övriga utländska	
Danske Invest Horisont Försiktig	0	0	1	-4	16	28	5,1	0,43	1,14	5,3	0,9	SEK	2005	Svensk	963462	Danske Capital AB	Svenska och utländska aktier samt svenska räntor	
Baring Global  Leaders Fund	-5	-5	-1	-14	36	46	7,9	0,74	2,2	13,8	0,8	USD	2002	Utländsk	872440	Baring International Fund Managers (Ireland) Ltd	Global	
Independent Aktiv Max	-8	-8	-5	-17	13			0,89	2,25	11,5	0,4	SEK	2012	Utländsk	451393	Lantern Structured Asset Management	Global	
Lärarfond 21-44 år	-5	-5	1	-11	38	50	8,4	0,25	0,61	12,9	0,9	SEK	2000	Svensk	152835	E. Öhman J:or Fonder AB	Svenska och utländska aktier	Fonden tar miljö och/eller etisk hänsyn
Lärarfond 45-58 år	-3	-3	1	-9	28	38	6,7	0,25	0,61	9,7	0,9	SEK	2000	Svensk	117002	E. Öhman J:or Fonder AB	Svenska och utländska aktier samt svenska räntor	Fonden tar miljö och/eller etisk hänsyn
Lärarfond 59+	-1	-1	0	-5	13	23	4,2	0,25	0,6	4,6	0,9	SEK	2000	Svensk	981175	E. Öhman J:or Fonder AB	Svenska och utländska aktier samt svenska räntor	Fonden tar miljö och/eller etisk hänsyn
Handelsbanken Rysslandsfond	8	8	6	-6	-19	-44	-10,8	0,47	2,51	26,6	-0,1	SEK	2009	Utländsk	390062	Handelsbanken Funds	Ryssland	
Allra Strategi Modig	-7	-7	-4	-15	20			0,48	2,29	12,7	0,5	SEK	2011	Utländsk	250340	Allra Asset Management S.A.	Global	Fonden tar miljö och/eller etisk hänsyn
Handelsbanken Amerika Tema	-7	-7	-1	-8	56	98	14,6	0,38	1,67	13,7	1,1	SEK	2011	Svensk	840033	Handelsbanken Fonder AB	Nordamerika och USA	
Handelsbanken Europa Tema	-8	-8	-4	-14	32	30	5,4	0,37	1,64	12,7	0,8	SEK	2013	Svensk	362020	Handelsbanken Fonder AB	Europa	
Handelsbanken Tillväxtmarknad Tema	1	1	3	-17	10	10	1,9	0,38	1,67	14,5	0,3	SEK	2000	Svensk	987842	Handelsbanken Fonder AB	Nya marknader	
FIM Europa	-5	-5	-3	-14	40	31	5,6	0,73	1,8	13,7	0,9	EUR	2008	Utländsk	755090	FIM Kapitalförvaltning Ab	Europa	Fonden tar miljö och/eller etisk hänsyn
Aberdeen Global - Select Global Investment Grade Credit Bond Fund	-4	-4	-6	-9	26	31	5,6	0,36	1,23	8,2	0,9	GBP	2006	Utländsk	551093	Aberdeen International Fund Managers Ltd	Europa och Euroland	
Swedbank Robur Penningmarknadsfond	0	0	0	0	1	5	1	0,01	0,01	0,2	1,3	SEK	2000	Svensk	717611	Swedbank Robur Fonder AB	Sverige kort	
SEB Pension Fund	0	0	1	-7				0,34	1,32			SEK	2013	Utländsk	997403	SEB Asset Management S.A.	Utländska aktier och räntor	
Carnegie Fonder Portfolio - Carnegie Strategy Fund (A)	0	0	3	-4	45			0,36	1,42	8,2	1,5	SEK	2013	Utländsk	768317	SEB Fund Services S.A.	Utländska aktier och räntor	
OPM Listed Private Equity	-4	-4	-2	-14	36	64	10,4	0,89	2,98	12,1	0,9	SEK	2014	Svensk	341362	Optimized Portfolio Management Stockholm AB	Global	
First State Global Property Securities Fund	-2	-2	1	-10	44	79	12,3	0,67	1,64	14,4	0,9	GBP	2007	Utländsk	800664	First State Investments (UK) Ltd	Övriga branscher	
Zmart Balanserad	-1	-1	2	-5				0,59	2,51			SEK	2013	Svensk	195628	Zmartic Fonder AB	Utländska aktier och räntor	
Zmart Optimal	-2	-2	3	-6				0,59	2,51			SEK	2013	Svensk	159798	Zmartic Fonder AB	Utländska aktier och räntor	
UBS (Lux) Equity Sicav - Russia	11	11	9	-1	-8	-39	-9,5	0,67	2,39	25	0	USD	2008	Utländsk	770263	UBS Fund Management (Luxembourg) S.A	Ryssland	
UBS (Lux) Equity Sicav - USA Growth B	-8	-8	2	-7	71	110	16	0,63	2,09	14,6	1,3	USD	2008	Utländsk	626945	UBS Fund Management (Luxembourg) S.A	Nordamerika och USA	
UBS(Lux) Equity Fund- USA Multi Strategy (USD) P-acc	-6	-6	1	-11	60	91	13,8	0,57	1,85	13,6	1,2	USD	2000	Utländsk	686626	UBS Fund Management (Luxembourg) S.A	Nordamerika och USA	
ValueInvest LUX Global	-1	-1	7	2	64	88	13,4	0,75	1,86	11,3	1,5	EUR	2003	Utländsk	532325	ValueInvest Asset Management S.A.	Global	
ValueInvest LUX Japan	-2	-2	3	0	53	86	13,2	0,75	1,86	13,8	1,1	EUR	2003	Utländsk	603985	ValueInvest Asset Management S.A.	Japan	
AMF Räntefond Mix	2	2	1	1	11			0,12	0,3	3,5	1	SEK	2012	Svensk	265512	AMF Fonder AB	Sverige lång	
BL - Equities Dividend	-2	-2	-1	-13	30	44	7,6	0,48	1,23	9,9	0,9	EUR	2009	Utländsk	118000	Banque de Luxembourg S.A.	Global	
Quest Mangement Sicav - Quest Cleantech Fund A	-4	-4	1	-7	47	48	8,1	0,89	7,8	10,8	1,2	EUR	2009	Utländsk	942094	Capricorn Venture Partners NV	Övriga branscher	
Carnegie Corporate Bond	-1	-1	-1	-1	7	23	4,2	0,25	1,13	2	1,1	SEK	2010	Utländsk	537639	Carnegie Fonder AB	Övriga utländska	
Cicero World 0-50	-3	-3	-3	-8	5			0,59	2,14	4,6	0,3	SEK	2012	Svensk	187898	Cicero Fonder AB	Utländska aktier och räntor	
Didner & Gerge Global	0	0	5	-5	53			0,37	1,64	11,1	1,3	SEK	2011	Svensk	541235	Didner & Gerge Fonder AB	Global	
Nordea Latinamerikafonden	10	10	7	-16	-26	-36	-8,4	0,35	1,76	20,3	-0,4	SEK	2008	Svensk	588699	Nordea Funds Ab	Latinamerika	
Indecap Fondguide 2	-4	-4	2	-12	35			0,6	2,34	13,6	0,8	SEK	2012	Utländsk	961458	SEF SICAV	Svenska och utländska aktier	
Zmart Maximal	-3	-3	3	-9				0,83	2,53			SEK	2013	Svensk	123968	Zmartic Fonder AB	Global	
IKC Fastighetsfond	5	5	14	6				0,41	1,02			SEK	2015	Svensk	171306	IKC Fonder AB	Övriga branscher	
DNB Fund - Scandinavia	-3	-3	3	-7	52	39	6,9	0,51	1,34	12,3	1,2	SEK	2010	Utländsk	242495	DNB Asset Management S.A.	Norden	
DNB Fund - Global SRI	-7	-7	1	-15	38	52	8,7	0,51	1,33	14,7	0,8	SEK	2011	Utländsk	503573	DNB Asset Management S.A.	Global	Fonden tar miljö och/eller etisk hänsyn
Holberg Rurik	3	3	6	-11	11	14	2,6	0,47	1,05	14,7	0,3	NOK	2012	Utländsk	116111	Holberg Fondsforvaltning AS	Övriga länder	
Solidar Sicav - Global Fokus	-7	-7	0	-14	26	28	5	0,62	1,9	12,7	0,6	SEK	2010	Utländsk	276493	Lemanik Asset Management Luxembourg S.A.	Utländska aktier och räntor	
Solidar Sicav - Global Tillväxt	-7	-7	-1	-14	24	29	5,2	0,62	1,94	13,3	0,6	SEK	2010	Utländsk	240663	Lemanik Asset Management Luxembourg S.A.	Utländska aktier och räntor	
Danske Invest Aktiv Förmögenhetsförvaltning	1	1	2	-7	18	35	6,3	0,47	1,27	8,4	0,7	SEK	2000	Svensk	829945	Danske Capital AB	Svenska aktier och räntor	
Danske Invest Horisont Balanserad	-1	-1	1	-6	22	36	6,3	0,49	1,37	7,6	0,9	SEK	2005	Svensk	927632	Danske Capital AB	Svenska och utländska aktier samt svenska räntor	
Öhman Etisk Index Japan	-10	-10	-2	-14	36	47	8,1	0,27	0,72	15,7	0,7	SEK	2000	Svensk	606467	E. Öhman J:or Fonder AB	Japan	Fonden tar miljö och/eller etisk hänsyn
Öhman Etisk Index Pacific	-3	-3	6	-16	16	33	5,8	0,27	0,7	16,8	0,4	SEK	2000	Svensk	642298	E. Öhman J:or Fonder AB	Asien och Fjärran östern	Fonden tar miljö och/eller etisk hänsyn
Öhman Etisk Index Sverige	-4	-4	0	-13	32	47	8,1	0,22	0,5	13,6	0,7	SEK	2005	Svensk	577833	E. Öhman J:or Fonder AB	Sverige index	Fonden tar miljö och/eller etisk hänsyn
Öhman Etisk Index USA	-4	-4	3	-7	69	110	16	0,26	0,67	12,8	1,4	SEK	2000	Svensk	678128	E. Öhman J:or Fonder AB	Nordamerika och USA	Fonden tar miljö och/eller etisk hänsyn
Öhman Global Growth	-8	-8	6	4	84	102	15,1	0,51	1,82	13,8	1,5	SEK	2000	Svensk	785618	E. Öhman J:or Fonder AB	IT och kommunikation	
Öhman Hjärt-Lungfond	-7	-7	0	-12	50	89	13,6	0,46	1,62	12,9	1,1	SEK	2000	Svensk	749788	E. Öhman J:or Fonder AB	Läkemedel	
Öhman Index Nordamerika MSCI North America	-3	-3	4	-6	66			0,21	0,42	12,5	1,4	SEK	2012	Svensk	316513	E. Öhman J:or Fonder AB	Nordamerika och USA	
Öhman Index Sverige	-4	-4	0	-12	33			0,21	0,42	13,5	0,8	SEK	2012	Svensk	683318	E. Öhman J:or Fonder AB	Sverige index	
Öhman Sverigefond	-3	-3	6	-5	40	53	8,9	0,38	1,24	13,3	0,9	SEK	2000	Svensk	928937	E. Öhman J:or Fonder AB	Sverige	
East Capital Rysslandsfonden	8	8	7	-9	-33	-50	-12,9	0,77	2,63	28,9	-0,3	SEK	2002	Svensk	834788	East Capital Asset Management S.A.	Ryssland	
East Capital Turkietfonden	10	10	13	-11	-18	-4	-0,9	0,77	2,52	28,2	-0,1	SEK	2006	Svensk	333690	East Capital Asset Management S.A.	Övriga länder	
East Capital Östeuropafonden	8	8	8	-7	-17	-36	-8,5	0,77	2,6	18,6	-0,3	SEK	2002	Svensk	442483	East Capital Asset Management S.A.	Östeuropa	
Baring Hong Kong China Fund	-8	-8	-1	-20	31	16	3	0,63	1,79	20,3	0,5	USD	2000	Utländsk	334409	Baring International Fund Managers (Ireland) Ltd	Kina	
ESPA Bond Emerging Markets Corporate	4	4	1	0	17	33	5,8	0,42	1,03	6,3	0,8	EUR	2013	Utländsk	492595	Erste Sparinvest Kapitalanlagegesellschaft m.b.H	Övriga utländska	
ESPA Stock Commodities	0	0	4	-19				0,86	2,18			EUR	2014	Utländsk	286708	Erste Sparinvest Kapitalanlagegesellschaft m.b.H	Övriga branscher	
Evli Europa	-5	-5	1	-3	59	94	14,2	0,59	1,6	12,5	1,3	EUR	2001	Utländsk	764951	Evli Fondbolag Ab	Europa	
Evli Finland Select	-3	-3	6	-5	44	14	2,7	0,65	1,8	12,8	1	EUR	2000	Utländsk	570044	Evli Fondbolag Ab	Övriga länder	
Evli Nordic	-2	-2	8	9	79	76	11,9	0,59	1,6	11,5	1,7	EUR	2007	Utländsk	668269	Evli Fondbolag Ab	Norden	
Fidelity Funds - European Dynamic Growth Fund	-5	-5	0	-2	44	70	11,3	0,89	2,67	12,4	1	EUR	2012	Utländsk	942623	FIL Investment Management (Luxembourg) S.A.	Europa	
AMF Räntefond kort	0	0	0	0	3	9	1,8	0,1	0,1	0,4	2,3	SEK	2004	Svensk	305185	AMF Fonder AB	Sverige kort	
Pareto Global	-5	-5						0,66	1,62			SEK	2015	Utländsk	167643	Pareto Asset Management AS	Global	Fonden tar miljö och/eller etisk hänsyn
Seligson & Co Europa Indexfond	-7	-7	-5	-15	34	40	7	0,25	0,46	13,4	0,8	EUR	2000	Utländsk	515387	Seligson & Co Fondbolag Abp	Europa/Euroland Index	Fonden tar miljö och/eller etisk hänsyn
Spiltan Aktiefond Dalarna	0	0	12	1	50	48	8,2	0,56	1,58	13,7	1	SEK	2007	Svensk	119891	Spiltan Fonder AB	Sverige	
Spiltan Aktiefond Stabil	-3	-3	8	8	68	85	13,1	0,55	1,55	11,7	1,5	SEK	2004	Svensk	339184	Spiltan Fonder AB	Sverige	
Spiltan Aktiefond Sverige	-6	-6	7	3	70	84	13	0,56	1,58	15,4	1,2	SEK	2003	Svensk	152181	Spiltan Fonder AB	Sverige	
Indecap Fondguide 1	-1	-1	0	-3	7			0,44	1,63	2,6	0,8	SEK	2012	Utländsk	997288	SEF SICAV	Utländska aktier och räntor	
Skandia Smart Offensiv	-5	-5	2	-14	35	41	7,2	0,44	1,41	13,5	0,8	SEK	2000	Svensk	367813	Skandia Fonder AB	Utländska aktier och räntor	Fonden tar miljö och/eller etisk hänsyn
Sparinvest - Ethical Global Value	-3	-3	3	-8	46	36	6,3	0,8	2,01	12,1	1,1	EUR	2008	Utländsk	199406	Sparinvest S.A.	Global	Fonden tar miljö och/eller etisk hänsyn
SPP Aktiefond Sverige	-4	-4	1	-12	36	56	9,2	0,16	0,21	13,6	0,8	SEK	2000	Svensk	212332	SPP Fonder AB	Sverige index	Fonden tar miljö och/eller etisk hänsyn
Taaleri Eastern Europe Equity Fund	11	11	7	-7	-15	-37	-9	0,87	2,2	19,6	-0,2	EUR	2011	Utländsk	949941	Taaleritehtaan Rahastoyhtiö Oy	Östeuropa	Fonden tar miljö och/eller etisk hänsyn
Taaleri Finland Value Equity Fund	-1	-1	8	-11	62	22	4	0,59	1,4	15,7	1,1	EUR	2011	Utländsk	157438	Taaleritehtaan Rahastoyhtiö Oy	Övriga länder	Fonden tar miljö och/eller etisk hänsyn
Tundra Frontier Opportunities Fund	-10	-10	-10	-18				0,87	2,57			SEK	2013	Svensk	861229	Tundra Fonder AB	Nya marknader	
Tundra Nigeria and Sub-Sahara	-11	-11	-23	-34				0,87	2,66			SEK	2013	Svensk	878223	Tundra Fonder AB	Nya marknader	
Tundra Vietnam Fund	-3	-3	-2	-6				0,87	2,55			SEK	2014	Svensk	762823	Tundra Fonder AB	Övriga länder	
NN (L) Invest Euro Equity	-6	-6	-2	-12	41	28	5	0,68	1,65	13,7	0,9	EUR	2000	Utländsk	848770	NN Asset Management BV	Euroland	
NN (L) Invest Information Technology	-1	-1	8	-2	72	93	14	0,75	1,85	14,3	1,3	USD	2006	Utländsk	401695	NN Asset Management BV	IT och kommunikation	
JPMorgan Funds - Latin America Equity Fund D (acc)	12	12	10	-16	-26	-27	-6	0,79	2,8	19,3	-0,4	USD	2008	Utländsk	369462	JPMorgan Asset Management (Europe) S.à.r.l.	Latinamerika	
JPMorgan Investement Funds - Japan Select Equity Fund A (acc)	-10	-10	-1	-14	30	43	7,4	0,65	1,8	16,9	0,6	JPY	2000	Utländsk	275495	JPMorgan Asset Management (Europe) S.à.r.l.	Japan	
World Equity Replication fund	-5	-5	1	-12				0,89	2,25			SEK	2015	Svensk	318873	Lundmark & Co Fondförvaltning AB	Global	
Sparinvest Corporate Value Bonds EUR R	-2	-2	-10	-13	4			0,42	1,58	7	0,2	EUR	2015	Utländsk	907329	Sparinvest S.A.	Övriga utländska	Fonden tar miljö och/eller etisk hänsyn
Swedbank Robur Småbolagsfond Norden	-4	-4	8	8	46	51	8,6	0,27	1,28	12,9	1	SEK	2000	Svensk	860932	Swedbank Robur Fonder AB	Norden	
SEB Världenfond	-2	-2	1	-7	35	55	9,2	0,33	1,25	8,2	1,2	SEK	2002	Svensk	879114	SEB Investment Management AB	Svenska och utländska aktier samt svenska räntor	
SEB Europafond	-6	-6	-3	-11	34	39	6,8	0,36	1,41	12	0,9	SEK	2002	Svensk	122432	SEB Investment Management AB	Europa	
Länsförsäkringar Fastighetsfond	-1	-1	14	6	93	110	16	0,34	1,4	16,5	1,4	SEK	2001	Svensk	313742	Länsförsäkringar Fondförvaltning AB (publ)	Övriga branscher	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Global Aktiv	-2	-2	3	-10	33	51	8,6	0,36	1,55	14,2	0,7	SEK	2004	Svensk	522581	Länsförsäkringar Fondförvaltning AB (publ)	Global	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Global Index	-5	-5	2	-10				0,16	0,22			SEK	2013	Svensk	658997	Länsförsäkringar Fondförvaltning AB (publ)	Global	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Småbolag Sverige	-4	-4	13	9	86	79	12,4	0,37	1,6	14,4	1,5	SEK	2013	Svensk	515676	Länsförsäkringar Fondförvaltning AB (publ)	Sverige småbolag	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Sverige Aktiv	-3	-3	7	-3	44	56	9,3	0,33	1,3	13,2	1	SEK	2000	Svensk	528133	Länsförsäkringar Fondförvaltning AB (publ)	Sverige	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Sverige Index	-4	-4	0	-12	33	46	7,9	0,16	0,2	13,5	0,8	SEK	2013	Svensk	587337	Länsförsäkringar Fondförvaltning AB (publ)	Sverige index	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Tillväxtmarknad Aktiv	-1	-1	0	-22	1	-7	-1,4	0,42	1,91	15,7	0,1	SEK	2001	Svensk	206250	Länsförsäkringar Fondförvaltning AB (publ)	Nya marknader	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar USA Aktiv	-6	-6	2	-9	64	107	15,7	0,36	1,55	13,6	1,3	SEK	2000	Svensk	456475	Länsförsäkringar Fondförvaltning AB (publ)	Nordamerika och USA	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar USA Index	-4	-4	5	-5	69	112	16,3	0,16	0,22	13,1	1,4	SEK	2013	Svensk	551507	Länsförsäkringar Fondförvaltning AB (publ)	Nordamerika och USA	Fonden tar miljö och/eller etisk hänsyn
UBS (Lux) Equity Fund - Biotech (USD)	-24	-24	-17	-34	83	184	23,2	0,63	2,09	29,4	0,8	USD	2000	Utländsk	364158	UBS Fund Management (Luxembourg) S.A	Bioteknik	
UBS (Lux) Equity Fund - Global Multi Tech (USD)	-5	-5	6	-3	68	77	12,1	0,63	2,09	14,4	1,3	USD	2000	Utländsk	614966	UBS Fund Management (Luxembourg) S.A	IT och kommunikation	
UBS (Lux) Equity Fund - Health Care (USD)	-12	-12	-8	-15	75	131	18,2	0,63	2,09	16,6	1,2	USD	2000	Utländsk	579136	UBS Fund Management (Luxembourg) S.A	Läkemedel	
UBS (Lux) Equity Sicav - Brazil	25	25	21	-16	-35	-50	-12,9	0,67	2,39	28,6	-0,4	USD	2008	Utländsk	806091	UBS Fund Management (Luxembourg) S.A	Övriga länder	
IKC Opportunities	-4	-4	-4	-20	-10			0,78	2,34	14,4	-0,2	SEK	2011	Svensk	686972	IKC Fonder AB	Global	
Sparinvest Corporate Value Bonds SEK R	-3	-3	-8	-13	-5			0,42	1,59	5,5	-0,3	SEK	2015	Utländsk	871491	Sparinvest S.A.	Övriga utländska	Fonden tar miljö och/eller etisk hänsyn
Movestic Sicav - Movestic Korta Räntor Plus	0	0	1	0				0,42	1,2			SEK	2015	Utländsk	886077	Oppenheim Asset Management Services S.à.r.l	Övriga utländska	
Movestic Sicav - Movestic Sverige	-2	-2	4	-5				0,8	2			SEK	2015	Utländsk	850248	Oppenheim Asset Management Services S.à.r.l	Sverige	
Folksam LO Obligation	2	2	1	0	9	23	4,3	0,12	0,3	2,6	1	SEK	2000	Svensk	869438	Swedbank Robur Fonder AB	Sverige lång	Fonden tar miljö och/eller etisk hänsyn
SPP Obligationsfond	2	2	1	0	11	28	5,1	0,11	0,21	2,7	1,2	SEK	2000	Svensk	534800	SPP Fonder AB	Sverige lång	Fonden tar miljö och/eller etisk hänsyn
Öhman Företagsobligationsfond	0	0	0	-1	10	25	4,6	0,29	1,02	2,2	1,4	SEK	2004	Svensk	104786	E. Öhman J:or Fonder AB	Övriga utländska	
Aberdeen Global - Select Emerging Markets Bond Fund	2	2	3	-7	22	56	9,2	0,36	1,72	9,9	0,7	USD	2006	Utländsk	721746	Aberdeen International Fund Managers Ltd	Övriga utländska	
Aberdeen Global - Select Euro High Yield Bond 	2	2	1	2	29	34	6	0,36	1,44	5,4	1,6	EUR	2006	Utländsk	900894	Aberdeen International Fund Managers Ltd	Europa och Euroland	
Aberdeen Global - Select Global Credit Bond Fund	-3	-3	-6	-9	27	41	7,1	0,36	1,23	8,9	0,9	GBP	2006	Utländsk	479436	Aberdeen International Fund Managers Ltd	Övriga utländska	
Nordea Swedish Stars	-3	-3	1	-12	32	48	8,1	0,32	1,55	13,7	0,7	SEK	2008	Svensk	203067	Nordea Funds Ab	Sverige	Fonden tar miljö och/eller etisk hänsyn
Baring Eastern Europe Fund	8	8	8	-5	-15	-31	-7,3	0,73	2,14	20,1	-0,2	USD	2000	Utländsk	983593	Baring International Fund Managers (Ireland) Ltd	Östeuropa	
Tellus Midas	-3	-3	5	-15	4	3	0,6	0,47	1,06	13,8	0,2	SEK	2014	Svensk	305532	Tellus Fonder AB	Utländska aktier och räntor	Fonden tar miljö och/eller etisk hänsyn
Axa Rosenberg Pacific Ex-Japan Equity Alpha Fund	-2	-2	5	-18	3	25	4,6	0,62	1,49	17,3	0,1	USD	2000	Utländsk	401810	AXA Rosenberg Management Ireland Ltd	Asien och Fjärran östern	
Simplicity Afrika	3	3	-7	-21	10	10	1,9	0,77	1,98	15,9	0,3	SEK	2006	Svensk	534099	Simplicity AB	Nya marknader	
BlackRock Global Funds -  US Flexible Equity Fund	-6	-6	2	-9	62	89	13,6	0,66	1,82	14,7	1,2	USD	2004	Utländsk	804385	BlackRock (Channel Islands) Ltd	Nordamerika och USA	
IKC Pension Variabel	-5	-5	-2	-14	4			0,78	2,25	12,1	0,1	SEK	2011	Svensk	651141	IKC Fonder AB	Global	
Amundi Funds Equity Greater China	-3	-3	3	-19	34	33	5,9	0,78	2,25	16,6	0,7	USD	2006	Utländsk	197632	Amundi Luxembourg S.A. 	Kina	
Amundi Funds Equity India	-7	-7	-7	-18	56	36	6,4	0,78	4,3	23	0,7	USD	2006	Utländsk	233460	Amundi Luxembourg S.A. 	Övriga länder	
Amundi Funds Equity Latin America	10	10	5	-21	-32	-42	-10,2	0,78	2,31	19,9	-0,6	USD	2008	Utländsk	204891	Amundi Luxembourg S.A. 	Latinamerika	
Amundi Funds Equity US Concentrated Core	-11	-11	-3	-8	57			0,77	2,2	15,9	1	USD	2011	Utländsk	882530	Amundi Luxembourg S.A. 	Nordamerika och USA	
Amundi Funds Equity US Relative Value	-1	-1	2	-12	49			0,76	2,16	13,7	1	USD	2011	Utländsk	197517	Amundi Luxembourg S.A. 	Nordamerika och USA	
Simplicity Europa	-5	-5	-2					0,68	1,73			SEK	2015	Svensk	188300	Simplicity AB	Europa	
Simplicity Företagsobligationer	0	0	0	0	7			0,34	0,82	1,7	1,2	SEK	2012	Svensk	832717	Simplicity AB	Övriga utländska	
Simplicity Norden	-2	-2	4	0	68	74	11,7	0,65	1,62	11,2	1,6	SEK	2002	Svensk	484980	Simplicity AB	Norden	
Enter Penningmarknadsfond	0	0	0	0	2	6	1,2	0,13	0,18	0,3	1,7	SEK	2001	Svensk	134593	Enter Fonder AB	Sverige kort	Fonden tar miljö och/eller etisk hänsyn
Enter Sverige	-4	-4	7	-5	45	45	7,7	0,72	1,79	13,9	0,9	SEK	2001	Svensk	170423	Enter Fonder AB	Sverige	Fonden tar miljö och/eller etisk hänsyn
Inside Active Global	-2	-2	1	-9	32			0,81	2,02	11,8	0,8	SEK	2012	Svensk	333518	Insiderfonder AB	Global	
Sparinvest Investment Grade Value Bonds	3	3	1	-2	28	38	6,6	0,42	1,03	5,9	1,4	EUR	2007	Utländsk	335463	Sparinvest S.A.	Övriga utländska	
NN (L) Invest Global Real Estate	-2	-2	2	-9	38	69	11,1	0,74	1,84	15	0,8	EUR	2010	Utländsk	558882	NN Asset Management BV	Övriga branscher	
NN (L) Invest Sustainable Equity	-5	-5	-1	-11	44	60	9,9	0,75	1,85	11,9	1,1	EUR	2010	Utländsk	594713	NN Asset Management BV	Global	Fonden tar miljö och/eller etisk hänsyn
NN (L) Invest World	-6	-6	-2	-14	36	52	8,7	0,68	1,65	11,9	0,9	EUR	2002	Utländsk	526897	NN Asset Management BV	Global	
Öhman Penningmarknadsfond	0	0	0	0	1	3	0,6	0,1	0,11	0,2	-1,6	SEK	2001	Svensk	294918	E. Öhman J:or Fonder AB	Sverige kort	
SPP Grön Obligationsfond	1	1	0	-1				0,13	0,3			SEK	2015	Svensk	721506	SPP Fonder AB	Övriga utländska	Fonden tar miljö och/eller etisk hänsyn
UBS (Lux) Equity Sicav - Small Caps Europe	-7	-7	-4	-5	63	73	11,6	0,6	1,97	12,6	1,3	EUR	2005	Utländsk	116293	UBS Fund Management (Luxembourg) S.A	Europa/Euroland småbolag	
Swedbank Robur Nordenfond	-8	-8	0	-8	29	36	6,3	0,27	1,28	12,6	0,7	SEK	2000	Svensk	820852	Swedbank Robur Fonder AB	Norden	
Swedbank Robur Realinvest	-1	-1	10	-1	54	93	14	0,27	1,28	13,5	1,1	SEK	2000	Svensk	968420	Swedbank Robur Fonder AB	Övriga branscher	
Swedbank Robur Rysslandsfond	8	8	7	-4	-19	-38	-9,1	0,38	2,48	27	-0,1	SEK	2001	Svensk	752204	Swedbank Robur Fonder AB	Ryssland	
Swedbank Robur Småbolagsfond Europa	-8	-8	-3	-7	54	66	10,7	0,27	1,28	13,2	1,1	SEK	2000	Svensk	896761	Swedbank Robur Fonder AB	Europa/Euroland småbolag	
Carnegie Strategifond	1	1	4	-4	40	49	8,4	0,37	1,55	8,8	1,3	SEK	2000	Svensk	357483	Carnegie Fonder AB	Utländska aktier och räntor	
Skandia Sverige Exponering	-4	-4	0	-13	33			0,21	0,4	13,6	0,7	SEK	2013	Svensk	292193	Skandia Fonder AB	Sverige index	Fonden tar miljö och/eller etisk hänsyn
Skandia Global Exponering	-5	-5	2	-10				0,21	0,41			SEK	2013	Svensk	545426	Skandia Fonder AB	Global	Fonden tar miljö och/eller etisk hänsyn
Lannebo Mixfond	-3	-3	3	0	35	44	7,6	0,46	1,64	8,5	1,2	SEK	2000	Svensk	878520	Lannebo Fonder AB	Utländska aktier och räntor	
